userId,startTimestamp,endTimestamp
01HDGK5FYC1HAJ2J5W37KYRY5V,2023-10-24 10:55:57.73 UTC,2023-10-24 13:52:14.47 UTC
01HDGK68PBJAEWJX5TRY0SEAZE,2023-10-24 10:56:04.824 UTC,2023-10-24 12:20:59.39 UTC
01HDGK59GHE6EH7QM762W9GZ7X,2023-10-24 10:56:21.952 UTC,2023-10-24 12:30:38.503 UTC
01HDGGNBZ6NQWR1G4522A4Q5XB,2023-10-24 10:58:39.376 UTC,2023-10-24 16:56:52.894 UTC
01HDGK659C94THMCHGJ9V5JN31,2023-10-24 11:00:01.354 UTC,2023-10-24 12:03:17.322 UTC
01HDGK5GVCHQKY19YPXXAY2EFJ,2023-10-24 11:02:14.614 UTC,2023-10-24 15:15:15.938 UTC
01HDGK5T55MA4CJBXP2ENM8PX4,2023-10-24 11:02:28.642 UTC,2023-10-24 12:21:52.451 UTC
01HDGK5AHFQ180D2C472HXYY4M,2023-10-24 11:05:03.072 UTC,2023-10-24 12:19:34.847 UTC
01HDGK5JFCX9B2T2F0SJFGQN1B,2023-10-24 11:07:19.473 UTC,2023-10-24 11:13:23.035 UTC
01HDGK5QMCEAHVCK34YK0VYYPP,2023-10-24 11:07:52.907 UTC,2023-10-24 11:07:58.842 UTC
01HDGK664AZY7MYVFXHMWXPHC1,2023-10-24 11:11:46.075 UTC,2023-10-24 11:18:16.809 UTC
01HDGK58D7E7RDTCTPG99XP6GH,2023-10-24 11:13:04.874 UTC,2023-10-24 11:19:09.475 UTC
01HDGK53GDJY3S3YNAR14CKJE3,2023-10-24 11:13:20.956 UTC,2023-10-24 11:37:43.381 UTC
01HDGK54Y8VT60ZVQK12Q3JP9Q,2023-10-24 11:15:01.754 UTC,2023-10-24 11:19:11.418 UTC
01HDGPKGQ64K6X3TBGCFVYDP34,2023-10-24 11:20:03.576 UTC,2023-10-24 12:23:42.198 UTC
01HDGPPFS3485G25CN3R4NF5E8,2023-10-24 11:21:41.468 UTC,2023-10-24 13:45:18.594 UTC
01HDGK5M7M3959YD370Z5TQAAK,2023-10-24 11:25:54.128 UTC,2023-10-24 11:49:58.6 UTC
01HDGK62V036MKEWENZTR07B5W,2023-10-24 11:28:26.862 UTC,2023-10-24 11:38:10.817 UTC
01HDGK664AZY7MYVFXHMWXPHC1,2023-10-24 11:32:06.706 UTC,2023-10-24 11:33:05.349 UTC
01HDGK5HN93PK24BYKPTR3CPDB,2023-10-24 11:43:26.678 UTC,2023-10-24 18:05:59.754 UTC
01HDGK5YJ8Z9TAZ9BT2BT6KQ46,2023-10-24 11:48:29.372 UTC,2023-10-24 15:17:43.15 UTC
01HDGK61495ZT6C8SC24XSA47Y,2023-10-24 11:52:24.613 UTC,2023-10-24 11:53:44.17 UTC
01HDGK61495ZT6C8SC24XSA47Y,2023-10-24 12:02:25.85 UTC,2023-10-24 13:36:15.541 UTC
01HDGK659C94THMCHGJ9V5JN31,2023-10-24 12:13:10.383 UTC,2023-10-24 12:26:29.357 UTC
01HDGK5NVGK2YG44ZZGF3G2FZQ,2023-10-24 12:16:37.504 UTC,2023-10-24 12:24:20.877 UTC
01HDGK5PQT1RGZQBCD1TMXTWQ8,2023-10-24 12:19:46.149 UTC,2023-10-24 13:05:15.246 UTC
01HDGJ8041SQAPG8TR57WV93DD,2023-10-24 12:23:09.063 UTC,2023-10-24 13:47:41.341 UTC
01HDGK5AHFQ180D2C472HXYY4M,2023-10-24 12:23:18.325 UTC,2023-10-24 13:34:32.191 UTC
01HDGK5T55MA4CJBXP2ENM8PX4,2023-10-24 12:24:02.18 UTC,2023-10-24 12:41:14.442 UTC
01HDGK5DV3MSDB4C26WEPVE2X3,2023-10-24 12:25:17.237 UTC,2023-10-24 17:40:58.206 UTC
01HDGK5N27MEC89631FS69QKHT,2023-10-24 12:31:43.234 UTC,2023-10-24 17:06:24.001 UTC
01HDGK62V036MKEWENZTR07B5W,2023-10-24 12:46:49.954 UTC,2023-10-24 12:54:55.546 UTC
01HDGK5NVGK2YG44ZZGF3G2FZQ,2023-10-24 12:54:07.801 UTC,2023-10-24 13:30:29.564 UTC
01HDGK659C94THMCHGJ9V5JN31,2023-10-24 12:54:27.526 UTC,2023-10-24 13:08:38.389 UTC
01HDGK5PQT1RGZQBCD1TMXTWQ8,2023-10-24 13:13:08.356 UTC,2023-10-24 14:25:45.199 UTC
01HDGK5T55MA4CJBXP2ENM8PX4,2023-10-24 13:19:04.96 UTC,2023-10-24 16:51:09.454 UTC
01G1YVWX5GMJ19XF73Q8AYKDET,2023-10-24 13:35:50.4 UTC,2023-10-24 15:42:08.048 UTC
01HDGK5AHFQ180D2C472HXYY4M,2023-10-24 13:37:27.082 UTC,2023-10-24 17:23:28.442 UTC
01HDGK59GHE6EH7QM762W9GZ7X,2023-10-24 13:37:44.672 UTC,2023-10-24 16:59:20.436 UTC
01HDGK5NVGK2YG44ZZGF3G2FZQ,2023-10-24 13:38:07.661 UTC,2023-10-24 15:36:57.725 UTC
01HDGK54Y8VT60ZVQK12Q3JP9Q,2023-10-24 13:40:26.35 UTC,2023-10-24 15:49:23.139 UTC
01HDGK58D7E7RDTCTPG99XP6GH,2023-10-24 13:43:41.32 UTC,2023-10-24 16:04:41.507 UTC
01HDGK5ZBJ4E2824SVWRGAS0J1,2023-10-24 13:47:41.174 UTC,2023-10-24 13:52:37.769 UTC
01HDGK5ZBJ4E2824SVWRGAS0J1,2023-10-24 13:54:53.39 UTC,2023-10-24 19:38:02.027 UTC
01HDGJ8041SQAPG8TR57WV93DD,2023-10-24 13:57:35.724 UTC,2023-10-24 16:30:33.96 UTC
01HDGK5JFCX9B2T2F0SJFGQN1B,2023-10-24 13:59:15.362 UTC,2023-10-24 17:06:20.263 UTC
01HDGK659C94THMCHGJ9V5JN31,2023-10-24 14:05:03.83 UTC,2023-10-24 15:35:00.786 UTC
01HDGK68PBJAEWJX5TRY0SEAZE,2023-10-24 14:10:59.555 UTC,2023-10-24 17:01:17.343 UTC
01HDGK53GDJY3S3YNAR14CKJE3,2023-10-24 14:16:34.185 UTC,2023-10-24 16:48:00.323 UTC
01HDGK5M7M3959YD370Z5TQAAK,2023-10-24 14:17:43.146 UTC,2023-10-24 14:18:00.664 UTC
01HDGPPFS3485G25CN3R4NF5E8,2023-10-24 14:19:11.092 UTC,2023-10-24 16:00:05.153 UTC
01HDGDGMRZ6DPBDH6TN9V2YR8Q,2023-10-24 14:19:12.06 UTC,2023-10-24 14:25:30.997 UTC
01HDGTFMQHHBRQT5TFVTR8QMH3,2023-10-24 14:19:46.591 UTC,2023-10-24 14:49:27.249 UTC
01HDGEFR09RTP6EAH0S15J9CTK,2023-10-24 14:19:57.483 UTC,2023-10-24 14:27:33.257 UTC
01HDGGEVN5JF2YN6XCZVYVY6A3,2023-10-24 14:20:11.353 UTC,2023-10-24 18:38:07.036 UTC
01HDGR97707H7FZTHSM16G4MKZ,2023-10-24 14:20:18.556 UTC,2023-10-24 18:02:34.608 UTC
01HDGDVN9816Z38FMEEF6QW9TT,2023-10-24 14:20:43.044 UTC,2023-10-24 17:41:36.783 UTC
01HDGE6CRGGAE63A0RBPM23G9S,2023-10-24 14:20:53.113 UTC,2023-10-24 15:48:34.447 UTC
01HDGF10DJ88HZ6JZACYCW13N8,2023-10-24 14:21:00.149 UTC,2023-10-24 17:59:26.915 UTC
01HDGTAQVC4ZPVPX7YVMGRSD3S,2023-10-24 14:22:24.934 UTC,2023-10-24 14:33:54.259 UTC
01HDGG4FE7EC32977TQJA61T3A,2023-10-24 14:22:34.367 UTC,2023-10-24 15:32:12.245 UTC
01HDGK61495ZT6C8SC24XSA47Y,2023-10-24 14:22:37.332 UTC,2023-10-24 14:50:51.735 UTC
01HDGS6NC7MJQ22SFTMQXAVMCR,2023-10-24 14:22:45.978 UTC,2023-10-24 17:57:47.224 UTC
01HDGF9M446MHRHGBYCRYX4XDX,2023-10-24 14:22:52.966 UTC,2023-10-24 18:38:50.062 UTC
01HDGE07K4NB7KFWKY7V5Q2YZJ,2023-10-24 14:22:57.312 UTC,2023-10-24 15:19:49.674 UTC
01HDGTEBJFPBRVERM9H2YCBSEA,2023-10-24 14:23:08.913 UTC,2023-10-24 15:23:41.916 UTC
01HDGR93S5ENWA93TKMG38840R,2023-10-24 14:23:19.218 UTC,2023-10-24 14:32:37.3 UTC
01HDGTC2RFQ0EC1BADTFCEFVDJ,2023-10-24 14:24:01.625 UTC,2023-10-24 14:26:21.475 UTC
01HDGTCPDZDQJWF1QRNWVA07JK,2023-10-24 14:24:28.26 UTC,2023-10-24 14:43:57.892 UTC
01HDGDJA46P1PJRBG3QPS1YWDK,2023-10-24 14:26:43.624 UTC,2023-10-24 14:57:48.104 UTC
01HDGH4GS0CEM17A2JAEDAXS6S,2023-10-24 14:26:43.856 UTC,2023-10-24 18:30:40.244 UTC
01HDGH1A8YTXYFJM849K900S2A,2023-10-24 14:27:11.535 UTC,2023-10-24 18:22:22.483 UTC
01HDGT5XTNBVBVEN94M9YTGW1B,2023-10-24 14:27:30.78 UTC,2023-10-24 14:57:51.276 UTC
01HDGDXV6327MZPNBZ165T03SN,2023-10-24 14:27:32.643 UTC,2023-10-24 18:56:49.473 UTC
01HDGTG0R38CAMF0F0WS0AQTE8,2023-10-24 14:27:39.602 UTC,2023-10-24 14:28:38.208 UTC
01HDGK5QMCEAHVCK34YK0VYYPP,2023-10-24 14:27:56.064 UTC,2023-10-24 15:05:41.506 UTC
01HDGTE37D2K821956BA44J8Z7,2023-10-24 14:27:58.711 UTC,2023-10-24 16:18:15.399 UTC
01HDGTCZKWGB0T96HV19MSAPT5,2023-10-24 14:28:02.987 UTC,2023-10-24 23:13:09.089 UTC
01HDGK5KB2N7HNJJR2B8DBF63C,2023-10-24 14:28:09.413 UTC,2023-10-24 16:37:23.084 UTC
01HDGK5PQT1RGZQBCD1TMXTWQ8,2023-10-24 14:28:34.238 UTC,2023-10-24 16:16:04.41 UTC
01HDGFAEXYN14APZDS1XRZDGK4,2023-10-24 14:28:38.424 UTC,2023-10-24 16:01:39.335 UTC
01HDGDTMSANCNN9JPX4M0N1Z1N,2023-10-24 14:28:46.122 UTC,2023-10-24 14:55:53.099 UTC
01HDGK5SAYH4Q5TZNJYFBYK9JQ,2023-10-24 14:30:17.696 UTC,2023-10-24 14:36:15.619 UTC
01HDGG77B7S0EAFNZAZG51E4A2,2023-10-24 14:31:08.534 UTC,2023-10-24 17:28:04.193 UTC
